"event","description","trigger","semantics","parameters","privacy","firebase","appsflyer","appsflyer_alias","conversion_priority","partner_postback_eligible"
"account_delete_prompt","Records the Fernly account delete prompt product milestone.","Emitted by the existing account delete prompt application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","source:string","product_analytics","true","true","account_delete_prompt","none","false"
"account_delete_result","Records the Fernly account delete result product milestone.","Emitted by the existing account delete result application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","reason:string; result:string","product_analytics","true","true","account_delete_result","none","false"
"alternate_selected","Records the Fernly alternate selected product milestone.","Emitted by the existing alternate selected application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","alternate_rank:number; selected:boolean","product_analytics","true","true","alternate_selected","none","false"
"camera_permission_result","Records the Fernly camera permission result product milestone.","Emitted by the existing camera permission result application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","result:string; source:string","product_analytics","true","true","camera_permission_result","none","false"
"care_log_result","Records the Fernly care log result product milestone.","Emitted by the existing care log result application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","reason:string; result:string; type:string","product_analytics","true","true","care_log_result","none","false"
"care_reminder_toggle","Records the Fernly care reminder toggle product milestone.","Emitted by the existing care reminder toggle application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","enabled:boolean; result:string; source:string","product_analytics","true","true","care_reminder_toggle","none","false"
"diagnose_result","Records the Fernly diagnose result product milestone.","Emitted by the existing diagnose result application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","reason:string; result:string; stage:string","product_analytics","true","true","diagnose_result","none","false"
"diagnosis_attach_select","Records the Fernly diagnosis attach select product milestone.","Emitted by the existing diagnosis attach select application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","source:string","product_analytics","true","true","diagnosis_attach_select","none","false"
"diagnosis_expand","Records the Fernly diagnosis expand product milestone.","Emitted by the existing diagnosis expand application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","expanded:boolean","product_analytics","true","true","diagnosis_expand","none","false"
"diagnosis_save_result","Records the Fernly diagnosis save result product milestone.","Emitted by the existing diagnosis save result application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","attached_to_plant:boolean; reason:string; result:string; target:string","product_analytics","true","true","diagnosis_save_result","none","false"
"deep_link_open","Records the Fernly deep link open product milestone.","Emitted by the existing deep link open application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","deferred:boolean; destination:string; result:string","product_analytics","true","true","deep_link_open","none","false"
"first_plant_saved","Records the Fernly first plant saved product milestone.","Emitted by the existing first plant saved application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","source:string","product_analytics","true","true","first_plant_saved","high","true"
"free_limit_hit","Records the Fernly free limit hit product milestone.","Emitted by the existing free limit hit application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","mode:string; reason:string; stage:string","product_analytics","true","true","free_limit_hit","none","false"
"frost_alert_toggle","Records the Fernly frost alert toggle product milestone.","Emitted by the existing frost alert toggle application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","enabled:boolean; result:string","product_analytics","true","true","frost_alert_toggle","none","false"
"growth_photo_add","Records the Fernly growth photo add product milestone.","Emitted by the existing growth photo add application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","reason:string; result:string; source:string","product_analytics","true","true","growth_photo_add","none","false"
"identify_result","Records the Fernly identify result product milestone.","Emitted by the existing identify result application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","has_species_profile:boolean; reason:string; result:string","product_analytics","true","true","af_search","high","true"
"legal_link_tap","Records the Fernly legal link tap product milestone.","Emitted by the existing legal link tap application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","surface:string; target:string","product_analytics","true","true","legal_link_tap","none","false"
"library_permission_result","Records the Fernly library permission result product milestone.","Emitted by the existing library permission result application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","result:string; source:string","product_analytics","true","true","library_permission_result","none","false"
"manage_subscription_link","Records the Fernly manage subscription link product milestone.","Emitted by the existing manage subscription link application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","source:string","product_analytics","true","true","manage_subscription_link","none","false"
"offer_code_redemption","Records the Fernly offer code redemption product milestone.","Emitted by the existing offer code redemption application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","result:string; source:string","product_analytics","true","true","offer_code_redemption","none","false"
"onboarding_complete","Records the Fernly onboarding complete product milestone.","Emitted by the existing onboarding complete application flow.","Result and reason parameters distinguish successful, cancelled, and failed outcomes when applicable.","method:string","product_analytics","true","true","af_tutorial_completion","high","true"
